Date,Territory,Cured,Deaths,Confirmed
2020-08-02,Telengana,1114,11,2083
2020-08-03,Telengana,1088,10,1891
2020-08-04,Telengana,2085,23,2269
2020-08-05,Telengana,1139,13,2012
2020-08-06,Telengana,1289,13,2092
2020-08-07,Telengana,1136,12,2207
2020-08-08,Telengana,1091,14,2256
2020-08-09,Telengana,1669,12,1982
2020-08-10,Telengana,1587,10,1256
2020-08-11,Telengana,1788,8,1896
2020-08-12,Telengana,1920,9,1897
2020-08-13,Telengana,1780,11,1931
2020-08-14,Telengana,1210,9,1921
2020-08-15,Telengana,1912,10,1863
2020-08-16,Telengana,1930,9,1102
2020-08-17,Telengana,2006,10,894
2020-08-18,Telengana,2070,8,1682
2020-08-19,Telengana,1789,8,1763
2020-08-20,Telengana,1195,10,1724
2020-08-21,Telengana,1781,8,1967
2020-08-22,Telengana,1768,7,2474
2020-08-23,Telengana,1851,11,2384
2020-08-24,Telengana,1825,6,1842
2020-08-25,Telengana,1752,9,2579
2020-08-26,Telengana,1060,10,3018
2020-08-27,Telengana,872,8,2795
2020-08-28,Telengana,1580,11,2932
2020-08-29,Telengana,1675,9,2751
2020-08-30,Telengana,1638,10,2924
2020-08-31,Telengana,1849,9,1873
2020-09-01,Telengana,2325,9,2734
2020-09-02,Telengana,2240,10,2892
2020-09-03,Telengana,2611,10,2817
2020-09-04,Telengana,2011,10,2478
2020-09-05,Telengana,2579,11,2511
2020-09-06,Telengana,2927,9,2574
2020-09-07,Telengana,2711,9,1802
2020-09-08,Telengana,2346,11,2392
2020-09-09,Telengana,2485,10,2479
2020-09-10,Telengana,2071,11,2534
2020-09-11,Telengana,2324,13,2426
2020-09-12,Telengana,2458,10,2278
2020-09-13,Telengana,2603,11,2216
2020-09-14,Telengana,2479,13,1417
2020-09-15,Telengana,2180,10,2058
2020-09-16,Telengana,2260,12,2273
2020-09-17,Telengana,2108,9,2159
2020-09-18,Telengana,1802,11,2043
2020-09-19,Telengana,2151,9,2123
2020-09-20,Telengana,2192,8,2137
2020-09-21,Telengana,2230,9,1302
2020-09-22,Telengana,2143,10,2166
2020-09-23,Telengana,2062,10,2296
2020-09-24,Telengana,2004,8,2176
2020-09-25,Telengana,2021,10,2381
2020-09-26,Telengana,2281,11,2239
2020-09-27,Telengana,2058,9,1967
2020-09-28,Telengana,1932,7,1378
2020-09-29,Telengana,2259,9,2072
2020-09-30,Telengana,2243,11,2103
2020-10-01,Telengana,2474,8,2214
2020-10-02,Telengana,2437,10,2009
2020-10-03,Telengana,2002,8,1718
2020-10-04,Telengana,2366,10,1949
2020-10-05,Telengana,2176,8,1335
2020-10-06,Telengana,2381,10,1983
2020-10-07,Telengana,2239,8,2154
2020-10-08,Telengana,2067,12,1896
2020-10-09,Telengana,1878,7,1891
2020-10-10,Telengana,2072,9,1811
2020-10-11,Telengana,2103,5,1717
2020-10-12,Telengana,2214,6,1021
2020-10-13,Telengana,2009,5,1708
2020-10-14,Telengana,1918,8,1446
2020-10-15,Telengana,1949,8,1432
2020-10-16,Telengana,1435,7,1554
2020-10-17,Telengana,1983,9,1451
2020-10-18,Telengana,2154,6,1436
2020-10-19,Telengana,1896,4,948
2020-10-20,Telengana,1891,7,1486
2020-10-21,Telengana,1811,5,1579
2020-10-22,Telengana,1717,5,1456
2020-10-23,Telengana,1221,6,1421
2020-10-24,Telengana,1708,5,1273
2020-10-25,Telengana,1446,4,978
2020-10-26,Telengana,1432,4,582
2020-10-27,Telengana,1554,4,837
2020-10-28,Telengana,1451,4,1481
2020-10-29,Telengana,1436,5,1504
2020-10-30,Telengana,1048,6,1531
2020-10-31,Telengana,1486,6,1445
2020-11-01,Telengana,1579,5,1416
2020-11-02,Telengana,1526,7,922
2020-11-03,Telengana,1421,3,1536
2020-11-04,Telengana,1273,6,1637
2020-11-05,Telengana,978,5,1539
2020-11-06,Telengana,982,4,1602
2020-11-07,Telengana,937,6,1607
2020-11-08,Telengana,1481,5,1440
2020-11-09,Telengana,1504,4,857
2020-11-10,Telengana,1921,4,1267
2020-11-11,Telengana,1745,5,1196
2020-11-12,Telengana,1716,3,1015
2020-11-13,Telengana,1222,4,997
2020-11-14,Telengana,1736,4,1050
2020-11-15,Telengana,1637,3,661
2020-11-16,Telengana,1539,3,502
2020-11-17,Telengana,1602,3,952
2020-11-18,Telengana,1607,5,948
2020-11-19,Telengana,1440,4,1058
2020-11-20,Telengana,1057,4,894
2020-11-21,Telengana,1367,3,925
2020-11-22,Telengana,1296,4,873
2020-11-23,Telengana,1015,3,602
2020-11-24,Telengana,1097,4,921
2020-11-25,Telengana,1150,4,993
2020-11-26,Telengana,961,3,862
2020-11-27,Telengana,702,4,761
2020-11-28,Telengana,952,3,753
2020-11-29,Telengana,948,4,805
2020-11-30,Telengana,1058,3,593
2020-12-01,Telengana,894,3,502
2020-12-02,Telengana,925,1,565
2020-12-03,Telengana,873,3,609
2020-12-04,Telengana,802,2,631
2020-12-05,Telengana,921,3,596
2020-12-06,Telengana,993,2,622
2020-12-07,Telengana,862,2,517
2020-12-08,Telengana,761,3,682
2020-12-09,Telengana,753,3,721
2020-12-10,Telengana,805,2,643
2020-12-11,Telengana,502,3,612
2020-12-12,Telengana,565,4,635
2020-12-13,Telengana,609,4,573
2020-12-14,Telengana,631,3,384
2020-12-15,Telengana,596,3,491
2020-12-16,Telengana,622,3,536
2020-12-17,Telengana,517,3,509
2020-12-18,Telengana,682,1,551
2020-12-19,Telengana,721,4,627
2020-12-20,Telengana,643,3,592
2020-12-21,Telengana,612,2,316
2020-12-22,Telengana,635,3,617
2020-12-23,Telengana,573,4,635
2020-12-24,Telengana,384,2,574
2020-12-25,Telengana,491,3,518
2020-12-26,Telengana,536,2,317
2020-12-27,Telengana,509,2,472
2020-12-28,Telengana,551,2,205
2020-12-29,Telengana,627,2,397
2020-12-30,Telengana,592,3,474
2020-12-31,Telengana,316,3,415
2021-01-01,Telengana,617,3,461
2021-01-02,Telengana,535,2,293
2021-01-03,Telengana,574,3,394
2021-01-04,Telengana,518,2,238
2021-01-05,Telengana,317,3,253
2021-01-06,Telengana,472,2,417
2021-01-07,Telengana,305,3,379
2021-01-08,Telengana,397,2,346
2021-01-09,Telengana,474,2,298
2021-01-10,Telengana,415,2,351
2021-01-11,Telengana,461,1,224
2021-01-12,Telengana,293,2,301
2021-01-13,Telengana,394,3,331
2021-01-14,Telengana,238,1,276
2021-01-15,Telengana,253,2,202
2021-01-16,Telengana,417,1,249
2021-01-17,Telengana,379,2,299
2021-01-18,Telengana,346,2,206
2021-01-19,Telengana,298,2,256
2021-01-20,Telengana,351,2,267
2021-01-21,Telengana,224,1,226
2021-01-22,Telengana,351,2,214
2021-01-23,Telengana,431,2,221
2021-01-24,Telengana,376,1,197
2021-01-25,Telengana,302,1,148
2021-01-26,Telengana,349,2,189
2021-01-27,Telengana,399,1,147
2021-01-28,Telengana,306,1,186
2021-01-29,Telengana,356,2,197
2021-01-30,Telengana,367,2,186
2021-01-31,Telengana,276,1,163
2021-02-01,Telengana,264,2,118
2021-02-02,Telengana,221,1,152
2021-02-03,Telengana,197,2,185
2021-02-04,Telengana,198,2,177
2021-02-05,Telengana,189,1,169
2021-02-06,Telengana,147,1,161
2021-02-07,Telengana,186,2,150
2021-02-08,Telengana,197,1,101
2021-02-09,Telengana,186,1,149
2021-02-10,Telengana,163,1,157
2021-02-12,Telengana,152,1,143
2021-02-14,Telengana,177,2,146
2021-02-15,Telengana,169,2,99
2021-02-16,Telengana,161,1,129
2021-02-17,Telengana,150,1,148
2021-02-18,Telengana,101,2,163
2021-02-19,Telengana,149,1,165
2021-02-21,Telengana,146,1,163
2021-02-22,Telengana,143,1,114
2021-02-23,Telengana,151,2,149
2021-02-24,Telengana,146,2,12668
2021-02-26,Telengana,129,2,189
2021-02-27,Telengana,148,1,178
2021-02-28,Telengana,163,1,176
2021-03-02,Telengana,157,1,163
2021-03-04,Telengana,114,2,152
2021-03-05,Telengana,149,2,166
2021-03-06,Telengana,196,1,170
2021-03-07,Telengana,207,1,158
2021-03-08,Telengana,189,1,111
2021-03-09,Telengana,178,2,142
2021-03-10,Telengana,176,2,189
2021-03-12,Telengana,116,3,194
2021-03-13,Telengana,331,3,397
2021-03-14,Telengana,152,1,228
2021-03-15,Telengana,166,1,157
2021-03-16,Telengana,170,2,204
2021-03-17,Telengana,158,3,247
2021-03-18,Telengana,111,3,278
2021-03-19,Telengana,142,2,313
2021-03-20,Telengana,189,2,364
2021-03-21,Telengana,194,3,394
2021-03-22,Telengana,181,2,337
2021-03-23,Telengana,216,3,412
2021-03-24,Telengana,228,2,431
2021-03-25,Telengana,157,4,493
2021-03-26,Telengana,204,3,518
2021-03-27,Telengana,247,2,495
2021-03-28,Telengana,278,3,535
2021-03-29,Telengana,313,2,403
2021-03-30,Telengana,364,4,463
2021-03-31,Telengana,394,3,684
2021-04-01,Telengana,337,4,887
2021-04-02,Telengana,312,5,965
2021-04-03,Telengana,331,6,1078
2021-04-04,Telengana,293,5,1321
2021-04-05,Telengana,268,6,1097
2021-04-06,Telengana,245,6,1498
2021-04-07,Telengana,285,5,1914
2021-04-08,Telengana,303,7,2405
2021-04-09,Telengana,363,5,2128
2021-04-10,Telengana,584,6,2909
2021-04-11,Telengana,787,7,3187
2021-04-12,Telengana,565,6,2251
2021-04-13,Telengana,778,7,3052
2021-04-14,Telengana,821,8,2157
2021-04-15,Telengana,897,8,3307
2021-04-16,Telengana,1198,9,3840
2021-04-17,Telengana,1414,12,4446
2021-04-18,Telengana,1555,15,5093
2021-04-19,Telengana,1878,14,4009
2021-04-20,Telengana,2209,18,5926
2021-04-21,Telengana,2887,20,6542
2021-04-22,Telengana,2251,23,5567
2021-04-23,Telengana,3052,29,6026
2021-04-24,Telengana,2157,33,7612
2021-04-25,Telengana,3307,38,8126
2021-04-26,Telengana,3840,43,6551
2021-04-27,Telengana,6446,52,10122
2021-04-28,Telengana,5093,56,8061
2021-04-29,Telengana,4009,58,7994
2021-04-30,Telengana,5926,53,7646
2021-05-01,Telengana,6542,51,7754
2020-03-14,Delhi,1,1,1
2020-04-02,Delhi,2,2,67
